curriculumCode,sourcePath,semester,curriculumSubjectCode,subjectCode,note
BIT_SE_K19B,$[0].subjects[35].children[11],7,SE_COM*2,AGU301,Mon hoc/AGU301 - Phát triển game nâng cao.md
BIT_SE_K19B,$[0].subjects[36].children[11],7,SE_COM*3,AGU301,Mon hoc/AGU301 - Phát triển game nâng cao.md
BIT_SE_K19D_K20A,$[1].subjects[35].children[11],7,SE_COM*2,AGU301,Mon hoc/AGU301 - Phát triển game nâng cao.md
BIT_SE_K19D_K20A,$[1].subjects[36].children[11],7,SE_COM*3,AGU301,Mon hoc/AGU301 - Phát triển game nâng cao.md
BIT_SE_K20B,$[2].subjects[35].children[11],7,SE_COM*2,AGU301,Mon hoc/AGU301 - Phát triển game nâng cao.md
BIT_SE_K20B,$[2].subjects[36].children[11],7,SE_COM*3,AGU301,Mon hoc/AGU301 - Phát triển game nâng cao.md
BIT_SE_K21B,$[3].subjects[35].children[11],7,SE_COM*2,AGU301,Mon hoc/AGU301 - Phát triển game nâng cao.md
BIT_SE_K21B,$[3].subjects[36].children[11],7,SE_COM*3,AGU301,Mon hoc/AGU301 - Phát triển game nâng cao.md
BIT_SE_K19B,$[0].subjects[35].children[3],7,SE_COM*2,AIL304m,Mon hoc/AIL304m - Học máy.md
BIT_SE_K19B,$[0].subjects[36].children[3],7,SE_COM*3,AIL304m,Mon hoc/AIL304m - Học máy.md
BIT_SE_K19D_K20A,$[1].subjects[35].children[3],7,SE_COM*2,AIL304m,Mon hoc/AIL304m - Học máy.md
BIT_SE_K19D_K20A,$[1].subjects[36].children[3],7,SE_COM*3,AIL304m,Mon hoc/AIL304m - Học máy.md
BIT_SE_K20B,$[2].subjects[35].children[3],7,SE_COM*2,AIL304m,Mon hoc/AIL304m - Học máy.md
BIT_SE_K20B,$[2].subjects[36].children[3],7,SE_COM*3,AIL304m,Mon hoc/AIL304m - Học máy.md
BIT_SE_K21B,$[3].subjects[35].children[3],7,SE_COM*2,AIL304m,Mon hoc/AIL304m - Học máy.md
BIT_SE_K21B,$[3].subjects[36].children[3],7,SE_COM*3,AIL304m,Mon hoc/AIL304m - Học máy.md
BIT_SE_K19B,$[0].subjects[4].children[0],1,CEA201,CEA201,Mon hoc/CEA201 - Tổ chức và Kiến trúc máy tính.md
BIT_SE_K19D_K20A,$[1].subjects[4].children[0],1,CEA201,CEA201,Mon hoc/CEA201 - Tổ chức và Kiến trúc máy tính.md
BIT_SE_K20B,$[2].subjects[4].children[0],1,CEA201,CEA201,Mon hoc/CEA201 - Tổ chức và Kiến trúc máy tính.md
BIT_SE_K21B,$[3].subjects[4].children[0],1,CEA201,CEA201,Mon hoc/CEA201 - Tổ chức và Kiến trúc máy tính.md
BIT_SE_K19B,$[0].subjects[2].children[1],0,PHE_COM*1,COV111,Mon hoc/COV111 - Chess 1.md
BIT_SE_K19D_K20A,$[1].subjects[2].children[1],0,PHE_COM*1,COV111,Mon hoc/COV111 - Chess 1.md
BIT_SE_K20B,$[2].subjects[2].children[1],0,PHE_COM*1,COV111,Mon hoc/COV111 - Chess 1.md
BIT_SE_K21B,$[3].subjects[2].children[1],0,PHE_COM*1,COV111,Mon hoc/COV111 - Chess 1.md
BIT_SE_K19B,$[0].subjects[7].children[1],1,PHE_COM*2,COV121,Mon hoc/COV121 - Chess 2.md
BIT_SE_K19D_K20A,$[1].subjects[7].children[1],1,PHE_COM*2,COV121,Mon hoc/COV121 - Chess 2.md
BIT_SE_K20B,$[2].subjects[7].children[1],1,PHE_COM*2,COV121,Mon hoc/COV121 - Chess 2.md
BIT_SE_K21B,$[3].subjects[7].children[1],1,PHE_COM*2,COV121,Mon hoc/COV121 - Chess 2.md
BIT_SE_K19B,$[0].subjects[13].children[1],2,PHE_COM*3,COV131,Mon hoc/COV131 - Chess 3.md
BIT_SE_K19D_K20A,$[1].subjects[13].children[1],2,PHE_COM*3,COV131,Mon hoc/COV131 - Chess 3.md
BIT_SE_K20B,$[2].subjects[13].children[1],2,PHE_COM*3,COV131,Mon hoc/COV131 - Chess 3.md
BIT_SE_K21B,$[3].subjects[13].children[1],2,PHE_COM*3,COV131,Mon hoc/COV131 - Chess 3.md
BIT_SE_K19B,$[0].subjects[16].children[0],3,CSD201,CSD201,Mon hoc/CSD201 - Cấu trúc dữ liệu và giải thuật.md
BIT_SE_K19D_K20A,$[1].subjects[16].children[0],3,CSD201,CSD201,Mon hoc/CSD201 - Cấu trúc dữ liệu và giải thuật.md
BIT_SE_K20B,$[2].subjects[21].children[0],4,CSD201,CSD201,Mon hoc/CSD201 - Cấu trúc dữ liệu và giải thuật.md
BIT_SE_K21B,$[3].subjects[21].children[0],4,CSD201,CSD201,Mon hoc/CSD201 - Cấu trúc dữ liệu và giải thuật.md
BIT_SE_K19B,$[0].subjects[5].children[0],1,CSI106,CSI106,Mon hoc/CSI106 - Nhập môn khoa học máy tính.md
BIT_SE_K19D_K20A,$[1].subjects[5].children[0],1,CSI106,CSI106,Mon hoc/CSI106 - Nhập môn khoa học máy tính.md
BIT_SE_K20B,$[2].subjects[5].children[0],1,CSI106,CSI106,Mon hoc/CSI106 - Nhập môn khoa học máy tính.md
BIT_SE_K21B,$[3].subjects[5].children[0],1,CSI106,CSI106,Mon hoc/CSI106 - Nhập môn khoa học máy tính.md
BIT_SE_K19B,$[0].subjects[3].children[5],0,TMI_ELE,DBA103,Mon hoc/DBA103 - Nhạc cụ truyền thống - Đàn Bầu.md
BIT_SE_K19D_K20A,$[1].subjects[3].children[5],0,TMI_ELE,DBA103,Mon hoc/DBA103 - Nhạc cụ truyền thống - Đàn Bầu.md
BIT_SE_K20B,$[2].subjects[3].children[5],0,TMI_ELE,DBA103,Mon hoc/DBA103 - Nhạc cụ truyền thống - Đàn Bầu.md
BIT_SE_K21B,$[3].subjects[3].children[5],0,TMI_ELE,DBA103,Mon hoc/DBA103 - Nhạc cụ truyền thống - Đàn Bầu.md
BIT_SE_K19B,$[0].subjects[17].children[0],3,DBI202,DBI202,Mon hoc/DBI202 - Các hệ cơ sở dữ liệu.md
BIT_SE_K19D_K20A,$[1].subjects[17].children[0],3,DBI202,DBI202,Mon hoc/DBI202 - Các hệ cơ sở dữ liệu.md
BIT_SE_K20B,$[2].subjects[16].children[0],3,DBI202,DBI202,Mon hoc/DBI202 - Các hệ cơ sở dữ liệu.md
BIT_SE_K21B,$[3].subjects[16].children[0],3,DBI202,DBI202,Mon hoc/DBI202 - Các hệ cơ sở dữ liệu.md
BIT_SE_K19B,$[0].subjects[17].children[1],3,DBI202,DBI202-OLD,Mon hoc/DBI202-OLD - Database Systems.md
BIT_SE_K19D_K20A,$[1].subjects[17].children[1],3,DBI202,DBI202-OLD,Mon hoc/DBI202-OLD - Database Systems.md
BIT_SE_K20B,$[2].subjects[16].children[1],3,DBI202,DBI202-OLD,Mon hoc/DBI202-OLD - Database Systems.md
BIT_SE_K21B,$[3].subjects[16].children[1],3,DBI202,DBI202-OLD,Mon hoc/DBI202-OLD - Database Systems.md
BIT_SE_K19B,$[0].subjects[35].children[4],7,SE_COM*2,DBM301,Mon hoc/DBM301 - Khai phá dữ liệu.md
BIT_SE_K19B,$[0].subjects[36].children[4],7,SE_COM*3,DBM301,Mon hoc/DBM301 - Khai phá dữ liệu.md
BIT_SE_K19D_K20A,$[1].subjects[35].children[4],7,SE_COM*2,DBM301,Mon hoc/DBM301 - Khai phá dữ liệu.md
BIT_SE_K19D_K20A,$[1].subjects[36].children[4],7,SE_COM*3,DBM301,Mon hoc/DBM301 - Khai phá dữ liệu.md
BIT_SE_K20B,$[2].subjects[35].children[4],7,SE_COM*2,DBM301,Mon hoc/DBM301 - Khai phá dữ liệu.md
BIT_SE_K20B,$[2].subjects[36].children[4],7,SE_COM*3,DBM301,Mon hoc/DBM301 - Khai phá dữ liệu.md
BIT_SE_K21B,$[3].subjects[35].children[4],7,SE_COM*2,DBM301,Mon hoc/DBM301 - Khai phá dữ liệu.md
BIT_SE_K21B,$[3].subjects[36].children[4],7,SE_COM*3,DBM301,Mon hoc/DBM301 - Khai phá dữ liệu.md
BIT_SE_K19B,$[0].subjects[35].children[8],7,SE_COM*2,DCD301,Mon hoc/DCD301 - Thiết kế vi mạch số.md
BIT_SE_K19B,$[0].subjects[36].children[8],7,SE_COM*3,DCD301,Mon hoc/DCD301 - Thiết kế vi mạch số.md
BIT_SE_K19D_K20A,$[1].subjects[35].children[8],7,SE_COM*2,DCD301,Mon hoc/DCD301 - Thiết kế vi mạch số.md
BIT_SE_K19D_K20A,$[1].subjects[36].children[8],7,SE_COM*3,DCD301,Mon hoc/DCD301 - Thiết kế vi mạch số.md
BIT_SE_K20B,$[2].subjects[35].children[8],7,SE_COM*2,DCD301,Mon hoc/DCD301 - Thiết kế vi mạch số.md
BIT_SE_K20B,$[2].subjects[36].children[8],7,SE_COM*3,DCD301,Mon hoc/DCD301 - Thiết kế vi mạch số.md
BIT_SE_K21B,$[3].subjects[35].children[8],7,SE_COM*2,DCD301,Mon hoc/DCD301 - Thiết kế vi mạch số.md
BIT_SE_K21B,$[3].subjects[36].children[8],7,SE_COM*3,DCD301,Mon hoc/DCD301 - Thiết kế vi mạch số.md
BIT_SE_K19B,$[0].subjects[35].children[12],7,SE_COM*2,DHV301,Mon hoc/DHV301 - Xử lý và Trực quan hóa Dữ liệu.md
BIT_SE_K19B,$[0].subjects[36].children[12],7,SE_COM*3,DHV301,Mon hoc/DHV301 - Xử lý và Trực quan hóa Dữ liệu.md
BIT_SE_K19D_K20A,$[1].subjects[35].children[12],7,SE_COM*2,DHV301,Mon hoc/DHV301 - Xử lý và Trực quan hóa Dữ liệu.md
BIT_SE_K19D_K20A,$[1].subjects[36].children[12],7,SE_COM*3,DHV301,Mon hoc/DHV301 - Xử lý và Trực quan hóa Dữ liệu.md
BIT_SE_K20B,$[2].subjects[35].children[12],7,SE_COM*2,DHV301,Mon hoc/DHV301 - Xử lý và Trực quan hóa Dữ liệu.md
BIT_SE_K20B,$[2].subjects[36].children[12],7,SE_COM*3,DHV301,Mon hoc/DHV301 - Xử lý và Trực quan hóa Dữ liệu.md
BIT_SE_K21B,$[3].subjects[35].children[12],7,SE_COM*2,DHV301,Mon hoc/DHV301 - Xử lý và Trực quan hóa Dữ liệu.md
